id_transacao,compradora,alvo,setor,valuation_brl,data_anuncio,status,email_assessor
5083,Cardoso S/A,Nogueira Ltda.,Saúde,406779042.42,2024-07-21,Em Due Diligence,advisor.théo@ficticio-ma.com.br
5084,Monteiro - ME,Costela,Energia,462930862.41,2026-07-13,Análise de NDA,advisor.eloah@ficticio-ma.com.br
5085,Cirino Gonçalves S.A.,Camargo,Saúde,453962504.02,2026-03-01,Análise de NDA,advisor.luiz felipe@ficticio-ma.com.br
5086,Guerra,Sousa,Finanças,270609492.6,2025-07-19,Em Due Diligence,advisor.sophia@ficticio-ma.com.br
5087,Guerra - ME,Cardoso S/A,Saúde,156193456.9,2024-07-02,Análise de NDA,advisor.maria vitória@ficticio-ma.com.br
5088,Ferreira Cirino S/A,Ferreira,Tecnologia,284497232.11,2025-04-25,Análise de NDA,advisor.caio@ficticio-ma.com.br
5089,Cassiano Correia S.A.,Borges Sousa - EI,Logística,337913352.96,2024-03-23,Cancelada,advisor.davi@ficticio-ma.com.br
5090,da Mata,da Rocha Ltda.,Tecnologia,249384523.91,2025-11-21,Concluída,advisor.maria eduarda@ficticio-ma.com.br
5091,Pimenta,Oliveira - ME,Logística,111832962.6,2026-03-10,Concluída,advisor.pietra@ficticio-ma.com.br
5092,Nunes,Fernandes S.A.,Logística,89079921.6,2024-03-10,Em Due Diligence,advisor.elisa@ficticio-ma.com.br
5093,Peixoto,Oliveira,Finanças,27729145.29,2026-03-14,Cancelada,advisor.erick@ficticio-ma.com.br
5094,Viana,Guerra - EI,Saúde,424474331.5,2023-09-20,Concluída,advisor.ravy@ficticio-ma.com.br
5095,Mendonça,Nunes,Varejo,169347081.99,2026-04-17,Concluída,advisor.davi luiz@ficticio-ma.com.br
5096,Correia,Silva,Saúde,493296221.81,2024-02-12,Cancelada,advisor.joão felipe@ficticio-ma.com.br
5097,Silveira,das Neves Câmara - ME,Energia,439885734.26,2025-09-05,Em Due Diligence,advisor.isis@ficticio-ma.com.br
5098,Aragão,Oliveira,Logística,126941455.39,2025-01-30,Concluída,advisor.miguel@ficticio-ma.com.br
5099,Costela - EI,Macedo Castro Ltda.,Finanças,289997158.64,2024-04-14,Análise de NDA,advisor.kamilly@ficticio-ma.com.br
5100,da Conceição das Neves - EI,Sales da Costa e Filhos,Tecnologia,59370357.37,2026-02-15,Análise de NDA,advisor.ana julia@ficticio-ma.com.br
5101,Borges Ramos - EI,Vieira - EI,Tecnologia,441371843.36,2024-05-25,Cancelada,advisor.maria laura@ficticio-ma.com.br
5102,da Rosa,Pinto,Energia,220626633.51,2024-05-20,Concluída,advisor.josé pedro@ficticio-ma.com.br
5103,Campos Barros S/A,Mendonça,Tecnologia,244668293.53,2026-01-30,Concluída,advisor.heloísa@ficticio-ma.com.br
5104,Abreu,Araújo,Tecnologia,78583949.19,2024-07-03,Cancelada,advisor.theo@ficticio-ma.com.br
5105,Lima Pacheco - EI,Barbosa,Tecnologia,165261227.79,2024-06-06,Concluída,advisor.luiz fernando@ficticio-ma.com.br
5106,Sales,Correia S.A.,Logística,117206638.35,2026-01-17,Análise de NDA,advisor.laís@ficticio-ma.com.br
5107,Siqueira,Santos Ltda.,Energia,208199717.02,2026-08-23,Análise de NDA,advisor.antonella@ficticio-ma.com.br
5108,Sousa,Moreira - EI,Energia,149755681.91,2023-12-27,Análise de NDA,advisor.raul@ficticio-ma.com.br
5109,da Rocha,da Cunha das Neves S.A.,Finanças,223966323.08,2026-08-14,Cancelada,advisor.leandro@ficticio-ma.com.br
5110,Monteiro S/A,Borges da Mota - ME,Logística,393596950.35,2023-10-29,Concluída,advisor.asafe@ficticio-ma.com.br
5111,Almeida,Cavalcanti S/A,Energia,138083032.1,2026-04-12,Concluída,advisor.ayla@ficticio-ma.com.br
5112,Andrade,Oliveira,Finanças,444190763.89,2024-04-19,Concluída,advisor.ana júlia@ficticio-ma.com.br
5113,Aparecida Freitas - EI,Souza S.A.,Finanças,263882278.74,2025-01-24,Em Due Diligence,advisor.isabella@ficticio-ma.com.br
5114,Aparecida,Moraes,Energia,190840629.94,2025-01-05,Cancelada,advisor.bárbara@ficticio-ma.com.br
5115,da Costa,Casa Grande Pacheco S/A,Tecnologia,214499590.96,2025-11-12,Cancelada,advisor.vitor@ficticio-ma.com.br
5116,Barros,Cunha,Energia,291886490.15,2024-10-14,Concluída,advisor.yuri@ficticio-ma.com.br
5117,Macedo,Duarte Casa Grande - ME,Tecnologia,290295638.59,2024-05-09,Análise de NDA,advisor.theo@ficticio-ma.com.br
5118,Correia S/A,Barros Ltda.,Energia,173035759.15,2024-08-31,Em Due Diligence,advisor.caio@ficticio-ma.com.br
5119,Silveira,Brito da Rocha S/A,Saúde,201568057.31,2024-10-13,Concluída,advisor.vitória@ficticio-ma.com.br
5120,Pires Correia S.A.,Freitas Ltda.,Finanças,126535536.54,2026-05-09,Análise de NDA,advisor.cecilia@ficticio-ma.com.br
5121,Rodrigues,da Cunha,Logística,191497431.3,2025-01-27,Cancelada,advisor.maria luiza@ficticio-ma.com.br
5122,Cardoso,Pires - EI,Logística,165296480.7,2024-03-14,Cancelada,advisor.pedro henrique@ficticio-ma.com.br
5123,Jesus S.A.,Castro Rocha e Filhos,Varejo,204226505.39,2026-04-06,Em Due Diligence,advisor.ana clara@ficticio-ma.com.br
5124,Sales,Castro,Varejo,401749781.76,2024-07-28,Cancelada,advisor.kamilly@ficticio-ma.com.br
5125,Moreira Silva - ME,Moreira,Energia,183243830.79,2026-01-17,Análise de NDA,advisor.gustavo henrique@ficticio-ma.com.br
5126,Campos - EI,da Rosa Gomes Ltda.,Finanças,312037351.43,2026-05-05,Cancelada,advisor.antonella@ficticio-ma.com.br
5127,Peixoto,da Rocha S/A,Energia,251125321.28,2024-04-05,Cancelada,advisor.thomas@ficticio-ma.com.br
5128,Garcia Vargas S/A,Ribeiro,Saúde,381023164.46,2026-02-25,Análise de NDA,advisor.vicente@ficticio-ma.com.br
5129,da Cruz Ltda.,Rodrigues e Filhos,Logística,449369553.61,2024-09-25,Em Due Diligence,advisor.luiz henrique@ficticio-ma.com.br
5130,Barros - ME,Marques S/A,Energia,59227852.3,2024-04-18,Em Due Diligence,advisor.ana sophia@ficticio-ma.com.br
5131,Ramos,Siqueira,Energia,12897045.01,2026-08-05,Cancelada,advisor.levi@ficticio-ma.com.br
5132,Ramos,Duarte - EI,Finanças,419803768.65,2024-03-09,Cancelada,advisor.joão vitor@ficticio-ma.com.br
5133,Freitas,Freitas Jesus - ME,Finanças,469568700.7,2024-01-22,Em Due Diligence,advisor.emilly@ficticio-ma.com.br
5134,Garcia,Teixeira,Logística,402314550.46,2024-11-30,Em Due Diligence,advisor.maria luísa@ficticio-ma.com.br
5135,Jesus da Luz Ltda.,da Cruz - ME,Tecnologia,187442800.44,2026-03-17,Em Due Diligence,advisor.eloá@ficticio-ma.com.br
5136,Barbosa,da Paz e Filhos,Logística,207854372.45,2025-06-07,Análise de NDA,advisor.ana liz@ficticio-ma.com.br
5137,da Luz da Costa e Filhos,Farias - ME,Logística,474337152.22,2025-07-02,Concluída,advisor.caroline@ficticio-ma.com.br
5138,da Conceição Ltda.,Cirino Fogaça - ME,Logística,367383952.08,2025-10-04,Concluída,advisor.elisa@ficticio-ma.com.br
5139,Gonçalves S.A.,Costela - ME,Varejo,188540123.32,2024-08-25,Em Due Diligence,advisor.luiz felipe@ficticio-ma.com.br
5140,Cassiano S/A,Carvalho,Tecnologia,436475268.23,2025-05-08,Concluída,advisor.thomas@ficticio-ma.com.br
5141,Sousa e Filhos,Cassiano Ltda.,Saúde,372702772.45,2026-08-21,Concluída,advisor.olívia@ficticio-ma.com.br
5142,Machado Silveira - ME,Cavalcanti Oliveira S/A,Finanças,100593736.77,2025-07-19,Análise de NDA,advisor.maria@ficticio-ma.com.br
5143,Siqueira,Silveira,Energia,432327953.54,2026-02-27,Análise de NDA,advisor.maya@ficticio-ma.com.br
5144,da Costa,Mendes Alves - ME,Finanças,479732794.05,2024-08-05,Análise de NDA,advisor.bella@ficticio-ma.com.br
5145,Moura,Peixoto S/A,Saúde,326498451.15,2025-11-25,Concluída,advisor.noah@ficticio-ma.com.br
5146,Abreu,Fogaça,Saúde,81108842.87,2025-01-08,Em Due Diligence,advisor.otto@ficticio-ma.com.br
5147,Fogaça Ltda.,Moura,Tecnologia,387987962.1,2024-05-01,Análise de NDA,advisor.isis@ficticio-ma.com.br
5148,Martins,Barbosa Nogueira Ltda.,Energia,87382268.42,2025-01-28,Em Due Diligence,advisor.ryan@ficticio-ma.com.br
5149,Peixoto,Albuquerque,Saúde,250520278.66,2023-12-06,Cancelada,advisor.melina@ficticio-ma.com.br
5150,Cassiano S/A,Garcia,Varejo,101624251.49,2025-05-29,Cancelada,advisor.noah@ficticio-ma.com.br
5151,Gonçalves Alves S/A,Vasconcelos S/A,Tecnologia,319365674.63,2025-05-09,Em Due Diligence,advisor.henry@ficticio-ma.com.br
5152,Sampaio,Borges Ltda.,Tecnologia,168245684.4,2026-04-14,Cancelada,advisor.luigi@ficticio-ma.com.br
5153,Garcia,Gomes Lima S/A,Logística,75972894.65,2024-05-15,Concluída,advisor.luiz fernando@ficticio-ma.com.br
5154,Barros,Costa,Energia,11171926.95,2023-10-29,Análise de NDA,advisor.bryan@ficticio-ma.com.br
5155,Correia,Nunes,Tecnologia,102100169.88,2024-08-30,Em Due Diligence,advisor.melina@ficticio-ma.com.br
5156,Freitas Leão - EI,Mendonça - EI,Logística,131485753.56,2026-08-29,Em Due Diligence,advisor.fernando@ficticio-ma.com.br
5157,Casa Grande,Rodrigues,Tecnologia,182255904.78,2024-01-23,Concluída,advisor.cauã@ficticio-ma.com.br
5158,Ribeiro e Filhos,Melo,Energia,375005733.41,2026-06-29,Em Due Diligence,advisor.anthony@ficticio-ma.com.br
5159,Sousa,Araújo,Logística,309978844.28,2026-03-23,Análise de NDA,advisor.gael@ficticio-ma.com.br
5160,Costa,Câmara - EI,Tecnologia,401760188.19,2025-10-24,Em Due Diligence,advisor.ana julia@ficticio-ma.com.br
5161,Cardoso,Moura S/A,Varejo,100569863.42,2025-05-31,Análise de NDA,advisor.levi@ficticio-ma.com.br
5162,Cavalcanti Teixeira S.A.,Aragão,Saúde,64196459.84,2026-01-15,Cancelada,advisor.lunna@ficticio-ma.com.br
5163,da Cruz - ME,Pimenta Ltda.,Logística,377449727.45,2024-02-25,Em Due Diligence,advisor.lavínia@ficticio-ma.com.br
5164,Sousa - EI,Borges,Varejo,268945823.27,2025-09-03,Concluída,advisor.isadora@ficticio-ma.com.br
5165,Viana Pereira e Filhos,da Conceição Cirino S.A.,Saúde,442492357.36,2025-10-12,Concluída,advisor.vitor gabriel@ficticio-ma.com.br
5166,Sousa,Farias Peixoto S/A,Energia,145427023.57,2025-05-05,Análise de NDA,advisor.felipe@ficticio-ma.com.br
5167,Gomes Cunha S.A.,Costela,Varejo,52318652.77,2024-09-28,Cancelada,advisor.josé@ficticio-ma.com.br
5168,Nascimento,Gonçalves,Varejo,185294013.24,2026-01-18,Concluída,advisor.maria alice@ficticio-ma.com.br
5169,Pacheco e Filhos,Santos Abreu S.A.,Saúde,105196423.53,2024-01-06,Cancelada,advisor.anna liz@ficticio-ma.com.br
5170,Novaes,Pacheco,Varejo,211220839.26,2026-02-25,Concluída,advisor.joão gabriel@ficticio-ma.com.br
5171,Costela,Almeida S.A.,Energia,475365250.45,2025-08-09,Cancelada,advisor.luiz fernando@ficticio-ma.com.br
5172,Cassiano Pimenta S/A,da Cruz,Tecnologia,470131755.92,2024-08-31,Cancelada,advisor.melina@ficticio-ma.com.br
5173,Barros Monteiro e Filhos,Pimenta,Finanças,71512153.67,2026-07-15,Concluída,advisor.fernanda@ficticio-ma.com.br
5174,Porto,Fogaça - EI,Tecnologia,270695930.26,2024-02-06,Cancelada,advisor.eduarda@ficticio-ma.com.br
5175,Carvalho,Vasconcelos Ltda.,Varejo,233210777.04,2025-01-20,Concluída,advisor.clarice@ficticio-ma.com.br
5176,Dias,da Cunha Rios e Filhos,Logística,218517049.91,2026-06-07,Concluída,advisor.thomas@ficticio-ma.com.br
5177,da Costa e Filhos,Costa S/A,Tecnologia,250394275.69,2024-09-25,Concluída,advisor.manuela@ficticio-ma.com.br
5178,Guerra,Rodrigues Nogueira S.A.,Logística,12055676.57,2023-11-13,Cancelada,advisor.yuri@ficticio-ma.com.br
5179,Nascimento Santos S.A.,da Mota da Mata - EI,Energia,378087923.23,2023-12-07,Concluída,advisor.ravi@ficticio-ma.com.br
5180,Pacheco,Sá - EI,Logística,323505323.03,2026-03-07,Concluída,advisor.ana sophia@ficticio-ma.com.br
5181,Castro Novais S.A.,Nogueira,Varejo,393995693.68,2024-01-30,Em Due Diligence,advisor.heloisa@ficticio-ma.com.br
5182,Sá Ltda.,Ferreira Lima - EI,Saúde,335335133.38,2026-06-09,Concluída,advisor.liz@ficticio-ma.com.br
5183,Jesus,Carvalho Viana S/A,Tecnologia,384981885.81,2025-04-10,Cancelada,advisor.gabrielly@ficticio-ma.com.br
5184,Silveira Brito S.A.,Correia Ltda.,Saúde,405255633.95,2026-05-14,Em Due Diligence,advisor.samuel@ficticio-ma.com.br
5185,Alves,da Rocha Cunha S/A,Tecnologia,42966153.74,2023-11-17,Análise de NDA,advisor.ana sophia@ficticio-ma.com.br
5186,da Mota da Mata S.A.,Araújo,Tecnologia,66885417.8,2025-08-13,Análise de NDA,advisor.raquel@ficticio-ma.com.br
5187,da Cruz,Sales Dias - ME,Finanças,312853494.98,2025-03-10,Concluída,advisor.esther@ficticio-ma.com.br
5188,Lima Novaes - EI,Moura Duarte Ltda.,Varejo,179815031.67,2026-04-27,Concluída,advisor.ravi lucca@ficticio-ma.com.br
5189,Camargo Camargo Ltda.,Sousa Melo - ME,Energia,383179522.09,2024-12-14,Em Due Diligence,advisor.natália@ficticio-ma.com.br
5190,Barbosa,Abreu,Energia,310084841.15,2023-11-14,Em Due Diligence,advisor.arthur miguel@ficticio-ma.com.br
5191,da Cunha da Rosa - EI,Nunes,Tecnologia,335488667.08,2026-08-23,Análise de NDA,advisor.danilo@ficticio-ma.com.br
5192,Rocha - ME,Alves Ribeiro S.A.,Logística,390680038.57,2026-09-10,Cancelada,advisor.arthur gabriel@ficticio-ma.com.br
5193,Aragão,Rezende,Finanças,134440679.12,2026-03-25,Cancelada,advisor.evelyn@ficticio-ma.com.br
5194,Porto Carvalho S/A,Pereira,Varejo,355980157.67,2025-03-04,Cancelada,advisor.marina@ficticio-ma.com.br
5195,Freitas Mendonça S/A,Cirino - EI,Saúde,383923156.88,2025-03-16,Análise de NDA,advisor.leonardo@ficticio-ma.com.br
5196,Correia Garcia e Filhos,Abreu - EI,Tecnologia,308827352.87,2024-09-15,Concluída,advisor.emanuel@ficticio-ma.com.br
5197,da Rosa da Costa - ME,Moura,Varejo,61087083.44,2026-09-07,Cancelada,advisor.raul@ficticio-ma.com.br
5198,Costela S.A.,Teixeira,Energia,121064712.03,2024-02-12,Em Due Diligence,advisor.lara@ficticio-ma.com.br
5199,Sousa,Rodrigues Guerra e Filhos,Tecnologia,126705000.52,2024-06-05,Em Due Diligence,advisor.mariana@ficticio-ma.com.br
5200,da Mata,Marques - EI,Logística,228910770.8,2025-06-14,Concluída,advisor.léo@ficticio-ma.com.br
5201,Barbosa,da Luz S.A.,Saúde,230920486.21,2024-10-02,Em Due Diligence,advisor.maitê@ficticio-ma.com.br
5202,Mendonça,Sá,Varejo,266628578.14,2026-07-27,Em Due Diligence,advisor.eduarda@ficticio-ma.com.br
5203,Pimenta,da Cruz,Energia,55688796.59,2025-09-28,Cancelada,advisor.maria julia@ficticio-ma.com.br
5204,Aragão,Cassiano,Logística,238407841.89,2025-03-23,Em Due Diligence,advisor.júlia@ficticio-ma.com.br
5205,da Rocha - EI,Freitas,Saúde,21414657.41,2026-08-01,Em Due Diligence,advisor.leonardo@ficticio-ma.com.br
5206,Pimenta Marques S/A,Pastor,Logística,219827026.72,2024-06-10,Concluída,advisor.luiz gustavo@ficticio-ma.com.br
5207,Pastor,da Mota,Saúde,133584151.32,2024-05-24,Em Due Diligence,advisor.gustavo henrique@ficticio-ma.com.br
5208,Gomes Ltda.,Câmara,Energia,438402466.52,2023-09-30,Em Due Diligence,advisor.ian@ficticio-ma.com.br
5209,Aparecida Almeida - EI,Barros S.A.,Tecnologia,295779014.75,2026-04-14,Em Due Diligence,advisor.ágatha@ficticio-ma.com.br
5210,Sales Gonçalves S/A,das Neves Carvalho S.A.,Finanças,291195565.94,2024-05-03,Em Due Diligence,advisor.antônio@ficticio-ma.com.br
5211,Campos Teixeira - EI,Siqueira,Energia,457206997.56,2023-11-22,Concluída,advisor.maria isis@ficticio-ma.com.br
5212,Andrade,Machado Sales S/A,Varejo,293762298.85,2025-12-26,Cancelada,advisor.ana vitória@ficticio-ma.com.br
5213,Costa,Sampaio Sá e Filhos,Finanças,157134041.44,2025-04-16,Análise de NDA,advisor.gabriel@ficticio-ma.com.br
